_id,name,Male,Female,Intersex,Total
1,Kenya,23548056,24014716,1524,47564296
2,Mombasa,610257,598046,30,1208333
3,Changamwe ,68761,63121,,131882
4,Jomvu ,83002,80410,3,163415
5,Kisauni,146748,145176,6,291930
6,Likoni ,126962,123392,4,250358
7,Mvita ,75565,78601,5,154171
8,Nyali ,109219,107346,12,216577
9,Kwale  ,425121,441681,18,866820
10,Kinango ,45413,48806,1,94220
11,Lungalunga,97174,101245,4,198423
12,Matuga      ,95831,98419,2,194252
13,Ms am bweni    ,89206,88480,4,177690
14,Samburu-Kwale     ,97497,104731,7,202235
15,Kilifi       ,704089,749673,25,1453787
16,Chonyi      ,29527,32807,1,62335
17,Ganze    .    ,66921,76981,4,143906
18,Kaloleni.     ,92614,101063,5,193682
19,Kauma      ,10965,11673,,22638
20,Kilifi North       ,86986,91836,2,178824
21,Kilifi South    ,101852,104897,4,206753
22,Magarini     ,93302,98308,,191610
23,Malindi        ,163351,169866,9,333226
24,Rabai        ,58571,62242,,120813
25,Tana River      ,158550,157391,2,315943
26,Tana North ,55716,54924,,110640
27,Tana Delta       ,59123,57632,2,116757
28,Tana River       ,43711,44835,,88546
29,Lamu        ,76103,67813,4,143920
30,Lamu East.    ,11675,10583,,22258
31,Lamu West.      ,64428,57230,4,121662
32,Taita/Taveta     ,173337,167327,7,340671
33,Mwatate     ,41426,40231,2,81659
34,Taita         ,28386,27573,,55959
35,Taveta      ,47410,43812,,91222
36,Voi       ,56115,55711,5,111831
37,Garissa       ,458975,382344,34,841353
38,Balambala,20277,11979,1,32257
39,Dadaab.      ,99059,86185,8,185252
40,Fafi        ,72617,61413,10,134040
41,Garissa      ,83460,80449,5,163914
42,Hulugho      ,78081,55898,5,133984
43,Ijara .      ,80458,61129,4,141591
44,Lagdera    ,25023,25291,1,50315
45,Wajir        ,415374,365840,49,781263
46,Buna        ,26796,23088,2,49886
47,Eldas       ,44743,43759,7,88509
48,Habaswein     ,94613,79505,16,174134
49,Tarbaj       ,27141,30086,5,57232
50,Wajir East      ,59359,51292,3,110654
51,Wajir North     ,31990,30209,7,62206
52,Wajir South     ,64947,51864,3,116814
53,Wajir West     ,65785,56037,6,121828
54,Mandera       ,434976,432444,37,867457
55,Mandera Wes t     .,48166,50130,4,98300
56,Banisa       ,78301,74288,9,152598
57,Kutulo       ,35799,36593,2,72394
58,Lafey       ,40476,42976,5,83457
59,Mandera Central     ,71688,85527,5,157220
60,Mandera Eas t    ,83538,76095,5,159638
61,Mandera North     .,77008,66835,7,143850
62,Marsabit       ,243548,216219,18,459785
63,Loiyangalani    ,17659,18051,3,35713
64,Mars abit Central     ,40956,38214,11,79181
65,Mars abit North     .,30091,24205,1,54297
66,Mars abit South     .,33215,32161,,65376
67,Moyale       ,56440,52508,1,108949
68,North Horr     ,41719,29726,2,71447
69,Sololo       ,23468,21354,,44822
70,Isiolo        ,139510,128483,9,268002
71,Garbatulla     ,54661,45068,1,99730
72,Is iolo       ,60414,60647,5,121066
73,Merti        ,24435,22768,3,47206
74,Meru        ,767698,777975,41,1545714
75,Buuri East     ,38101,38497,,76598
76,Buuri West     ,40496,40264,2,80762
77,Igem be Central     ,111208,110200,4,221412
78,Igem be North    ,83364,85949,4,169317
79,Igem be South    ,80192,81446,8,161646
80,Im enti North    ,88506,89056,5,177567
81,Im enti South    ,103338,103162,6,206506
82,Meru Central    ,66920,66894,4,133818
83,Tigania Central     ,51814,52916,,104730
84,Tigania East    ,35352,37194,3,72549
85,Tigania West    ,67715,72241,5,139961
86,Meru National Park*   ,283,102,,385
87,Mt. Kenya Fores t*     ,409,54,,463
88,Tharaka-Nithi     ,193764,199406,7,393177
89,Igam bang'om be     ,26464,26745,1,53210
90,Maara       ,57689,57205,,114894
91,Meru South     ,44923,46155,2,91080
92,Tharaka North     .,28290,30053,2,58345
93,Tharaka South     .,36190,39058,2,75250
94,Mt. Kenya Fores t*     ,208,190,,398
95,Embu        ,304208,304367,24,608599
96,Embu East     ,64571,64991,2,129564
97,Embu North    ,39665,39888,3,79556
98,Embu West     ,63125,63966,9,127100
99,Mbeere South    ,83311,80159,6,163476
100,Mbeere North    ,53517,55360,4,108881
101,Mt. Kenya Fores t*     ,19,3,,22
102,Kitui        ,549003,587151,33,1136187
103,Ikutha       ,39986,42976,2,82964
104,Katulani      ,23150,23957,1,47108
105,Kisasi       ,22646,23496,,46142
106,Kitui Central    ,52123,53863,5,105991
107,Kitui West     ,33887,36983,1,70871
108,Kyus o       ,36789,40077,1,76867
109,Lower Yatta     ,31701,31628,,63329
110,Matinyani      ,23362,24448,1,47811
111,Migwani      ,37525,41726,4,79255
112,Mum oni      ,13748,15596,,29344
113,Mutitu       ,26388,28896,3,55287
114,Mutitu North     ,10337,10877,1,21215
115,Mutom o      ,54819,58531,6,113356
116,Mwingi Central     .,52539,56174,,108713
117,Mwingi Eas t    ,40314,44820,5,85139
118,Nzam bani     ,22929,23857,2,46788
119,Thagicu      ,7141,7994,1,15136
120,Tseikuru      ,19619,21252,,40871
121,Machakos      ,710707,711191,34,1421932
122,Athi River      ,164322,158172,5,322499
123,Kalama      ,26764,27692,6,54462
124,Kangundo     ,48697,49219,1,97917
125,Kathiani      ,54910,56976,4,111890
126,Machakos      ,85486,85114,6,170606
127,Mas inga      ,73519,75001,2,148522
128,Matungulu     ,81145,80407,5,161557
129,Mwala       ,90427,91466,3,181896
130,Yatta       ,85437,87144,2,172583
131,Makueni       ,489691,497942,20,987653
132,Kathonzweni    ,39335,40442,3,79780
133,Kibwezi      ,98477,98517,6,197000
134,Kilungu      ,29019,31932,1,60952
135,Makindu      ,42204,42742,,84946
136,Makueni      ,65418,64955,2,130375
137,Mbooni Eas t    ,48152,49601,3,97756
138,Mbooni Wes t    ,49434,53159,1,102594
139,Mukaa       ,54481,53068,,107549
140,Nzaui       ,63171,63526,4,126701
141,Nyandarua      ,315022,323247,20,638289
142,Kinangop      ,54727,56679,4,111410
143,Nyandarua South     ,46157,47708,5,93870
144,Mirangine     ,33447,33766,1,67214
145,Kipipiri       ,46113,47740,2,93855
146,Nyandarua Central    ,37329,37931,2,75262
147,Nyandarua Wes t     ,48752,49209,4,97965
148,Nyandarua North     ,48486,50210,2,98698
149,Aberdare National Park* ,11,4,,15
150,Nyeri        ,374288,384845,31,759164
151,Tetu        ,39293,41155,5,80453
152,Kieni East     ,55360,55012,4,110376
153,Kieni West     ,43843,44677,5,88525
154,Mathira Eas t    ,48070,50992,3,99065
155,Mathira Wes t    ,29480,30412,3,59895
156,Nyeri South     ,44115,46964,2,91081
157,Mukurwe-ini    ,43975,45156,6,89137
158,Nyeri Central    ,69955,70380,3,140338
159,Mt. Kenya Fores t*     ,123,65,,188
160,Aberdare Fores t*     ,74,32,,106
161,Kirinyaga       ,302011,308369,31,610411
162,Kirinyaga Central     ,60118,62617,5,122740
163,Kirinyaga East     .,67037,68514,8,135559
164,Kirinyaga West     .,56154,58502,4,114660
165,Mwea Eas t     ,66432,66114,8,132554
166,Mwea Wes t     ,52228,52594,6,104828
167,Mt. Kenya Fores t*     ,42,28,,70
168,Murang'a       ,523940,532669,31,1056640
169,Murang'a Eas t     .,54665,55645,1,110311
170,Kangema     ,39582,40862,3,80447
171,Mathioya      ,45454,47359,1,92814
172,Kahuro       ,43352,44834,7,88193
173,Murang'a South     ,91732,93087,5,184824
174,Gatanga      ,94437,93548,4,187989
175,Kigumo      ,67989,68929,3,136921
176,Kandara      ,86698,88393,7,175098
177,Aberdare Fores t*     ,31,12,,43
178,Kiambu        ,1187146,1230454,135,2417735
179,Gatundu North    ,54189,55678,3,109870
180,Gatundu South    ,60384,61714,5,122103
181,Githunguri      ,82037,83187,8,165232
182,Juja        ,148446,152480,22,300948
183,Kabete       ,97794,101845,14,199653
184,Kiambaa      ,115690,120695,15,236400
185,Kiambu       ,69661,76225,17,145903
186,Kikuyu       ,90919,96198,5,187122
187,Lari        ,67061,68238,4,135303
188,Limuru       ,79632,79682,,159314
189,Ruiru        ,180947,190144,20,371111
190,Thika East      ,19688,19264,4,38956
191,Thika West     ,120698,125104,18,245820
192,Turkana       ,478087,448868,21,926976
193,Kibish       ,18651,18117,1,36769
194,Loima       ,54341,53453,1,107795
195,Turkana Central     .,93145,92160,,185305
196,Turkana East    ,76871,61643,12,138526
197,Turkana North    ,32810,32408,,65218
198,Turkana South    ,78402,75329,5,153736
199,Turkana West    ,123867,115758,2,239627
200,West Pokot      ,307013,314213,15,621241
201,Kipkomo      ,50923,51703,7,102633
202,Pokot Central    ,59682,59331,3,119016
203,Pokot North     ,64780,69702,3,134485
204,Pokot South     ,39808,40851,2,80661
205,West Pokot     ,91820,92626,,184446
206,Samburu       ,156774,153546,7,310327
207,Samburu Central     ,83633,81307,2,164942
208,Samburu East    ,38211,39782,1,77994
209,Samburu North     .,34930,32457,4,67391
